# az (deg)
# alt (deg)
0   40
5   40
10  40
15  40
20  40
25  40
30  40
35  40
40  40
45  40
50  40
55  40
60  40
65  40
70  40
75  40
80  40
85  40
90  40
95  40
100 40
105 40
110 40
115 40
120 40
125 40
130 40
135 40
140 40
145 40
150 40
155 40
160 40
165 40
170 40
175 40
180 40
185 40
190 40
195 40
200 40
205 40
210 40
215 40
220 40
225 40
230 40
235 40
240 40
245 40
250 40
255 40
260 40
265 40
270 40
275 40
280 40
285 40
290 40
295 40
300 40
305 40
310 40
315 40
320 40
325 40
330 40
335 40
340 40
345 40
350 40
355 40
360 40
